Code,Structure,Monoisotopicmass
g,GlcNAc,203.07937
m,MurNAc-alditol,277.11620
g(+Ac),AcetylatedGlcNAc,245.08994
m(+Ac),AcetylatedMurNAc-alditol,319.12672
g(-Ac),GlcN,161.06881
m(-Ac),MurN-alditol,235.10559
Lac,Lactyl,72.02113
O,Ornithine,132.08988
Z,Homoserine,119.05824
A,Alanine,71.03714
R,Arginine,156.10111
N,Asparagine,114.04293
D,Aspartate,115.02694
C,Cysteine,103.00919
E,Glutamicacid,129.04259
Q,Glutamine,128.05858
G,Glycine,57.02146
H,Histidine,137.05891
[I/L],Isoleucine/Leucine,113.08406
J,meso-DAP,172.08479
K,Lysine,128.09496
M,Methionine,131.04049
F,Phenylalanine,147.06841
P,Proline,97.05276
S,Serine,87.03203
T,Threonine,101.04768
W,Tryptophane,186.07931
Y,Tyrosine,163.06333
V,Valine,99.06841
X,Userdefined,Anyvalue!
H2O,Water,18.0106